# combined gg->H->WW limits otained with the Bayesian method
# arxiv: 1005.3216
# CDF_D0_combined_gg-H-WW_4.8-5.4fb
# Mh(in GeV),obs,exp in fb

110	2.10E+3	1.41E+3
115	2.35E+3	1.22E+3
120	1.75E+3	1.08E+3
125	1.29E+3	1.00E+3  
130	1.36E+3	0.93E+3
135	1.12E+3	0.88E+3
140	1.29E+3	0.82E+3
145	1.03E+3	0.76E+3
150	0.68E+3	0.67E+3
155	0.62E+3	0.56E+3
160	0.47E+3	0.40E+3
165	0.38E+3	0.36E+3  
170	0.45E+3	0.40E+3
175	0.38E+3	0.44E+3
180	0.41E+3	0.48E+3
185	0.48E+3	0.50E+3
190	0.46E+3	0.54E+3
195	0.65E+3	0.58E+3
200	0.83E+3	0.61E+3
210	0.98E+3	0.64E+3
220	0.90E+3	0.63E+3
230	1.06E+3	0.67E+3
240	0.93E+3	0.66E+3
250	1.02E+3	0.60E+3
260	1.02E+3	0.58E+3
270	1.05E+3	0.57E+3
280	1.07E+3	0.52E+3
290	0.96E+3	0.50E+3
300	0.93E+3	0.47E+3
