#Higgs production and decay in the fourth generation model with SM-like couplings
#"MD4=ML4=10TeV and MU4 - MD4 = [ 1 + 1/5*ln(MH/115) ] * 50 GeV ). Assumes the same NNLO QCD corrections as SM for ggF. QCD scale and PDF+alphas uncertainties are assumed to be the same as SM for ggF. Electroweak radiative corrections in the fourth generation model in Higgs production and decay are unknown (work in progress). Therefore suggests to assign +-15% theory uncertainty for sigma x BR."
#copied from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SM4At7TeVinfinite on 27th July 2011
#MH[GeV], Ratio of ggFSM4/ggFSM (HIGLU), SM4 ggF cross section[pb] (HIGLU)
			
	100.0 		9.248 		213.22 	
	105.0 		9.224 		192.51 	
	110.0 		9.180 		174.21 	
	110.5 		9.183 		172.57 	
	111.0 		9.174 		170.88 	
	111.5 		9.178 		169.34 	
	112.0 		9.171 		167.69 	
	112.5 		9.171 		166.08 	
	113.0 		9.160 		164.45 	
	113.5 		9.157 		162.88 	
	114.0 		9.154 		161.31 	
	114.5 		9.149 		159.79 	
	115.0 		9.146 		158.31 	
	115.5 		9.142 		156.81 	
	116.0 		9.138 		155.41 	
	116.5 		9.134 		153.92 	
	117.0 		9.127 		152.46 	
	117.5 		9.127 		151.13 	
	118.0 		9.120 		149.68 	
	118.5 		9.124 		148.41 	
	119.0 		9.111 		146.95 	
	119.5 		9.116 		145.79 	
	120.0 		9.103 		144.25 	
	120.5 		9.102 		143.00 	
	121.0 		9.100 		141.81 	
	121.5 		9.096 		140.51 	
	122.0 		9.091 		139.19 	
	122.5 		9.085 		137.86 	
	123.0 		9.080 		136.72 	
	123.5 		9.082 		135.61 	
	124.0 		9.074 		134.34 	
	124.5 		9.074 		133.19 	
	125.0 		9.066 		132.01 	
	125.5 		9.057 		130.74 	
	126.0 		9.059 		129.71 	
	126.5 		9.048 		128.49 	
	127.0 		9.046 		127.41 	
	127.5 		9.040 		126.27 	
	128.0 		9.037 		125.18 	
	128.5 		9.035 		124.09 	
	129.0 		9.032 		123.09 	
	129.5 		9.028 		121.98 	
	130.0 		9.022 		120.93 	
	130.5 		9.012 		119.84 	
	131.0 		9.012 		118.87 	
	131.5 		9.008 		117.95 	
	132.0 		9.007 		116.97 	
	132.5 		9.001 		115.93 	
	133.0 		8.997 		115.01 	
	133.5 		8.986 		113.91 	
	134.0 		8.985 		113.11 	
	134.5 		8.982 		112.20 	
	135.0 		8.978 		111.28 	
	135.5 		8.968 		110.29 	
	136.0 		8.970 		109.44 	
	136.5 		8.965 		108.51 	
	137.0 		8.956 		107.54 	
	137.5 		8.949 		106.76 	
	138.0 		8.949 		105.89 	
	138.5 		8.937 		104.88 	
	139.0 		8.930 		104.02 	
	139.5 		8.935 		103.30 	
	140.0 		8.933 		102.50 	
	141.0 		8.916 		100.76 	
	142.0 		8.913 		99.26 	
	143.0 		8.897 		97.54 	
	144.0 		8.895 		96.14 	
	145.0 		8.881 		94.54 	
	146.0 		8.876 		93.20 	
	147.0 		8.860 		91.67 	
	148.0 		8.850 		90.21 	
	149.0 		8.841 		88.86 	
	150.0 		8.829 		87.47 	
	151.0 		8.819 		86.20 	
	152.0 		8.811 		84.88 	
	153.0 		8.801 		83.63 	
	154.0 		8.791 		82.42 	
	155.0 		8.778 		81.19 	
	156.0 		8.771 		80.02 	
	157.0 		8.757 		78.82 	
	158.0 		8.756 		77.74 	
	159.0 		8.736 		76.59 	
	160.0 		8.726 		75.56 	
	162.0 		8.712 		73.31 	
	164.0 		8.684 		71.01 	
	166.0 		8.671 		69.01 	
	168.0 		8.645 		67.11 	
	170.0 		8.628 		65.34 	
	172.0 		8.601 		63.52 	
	174.0 		8.579 		61.80 	
	176.0 		8.556 		60.12 	
	178.0 		8.534 		58.54 	
	180.0 		8.511 		57.05 	
	182.0 		8.490 		55.59 	
	184.0 		8.467 		54.16 	
