0.100000000E+03 0.124133392E+01
0.110000000E+03 0.934612752E+00
0.120000000E+03 0.716610842E+00
0.130000000E+03 0.558290421E+00
0.140000000E+03 0.441081561E+00
0.150000000E+03 0.352812808E+00
0.160000000E+03 0.285335597E+00
0.170000000E+03 0.233057765E+00
0.180000000E+03 0.192046012E+00
0.190000000E+03 0.159531629E+00
0.200000000E+03 0.133493976E+00
0.210000000E+03 0.112469109E+00
0.220000000E+03 0.953480144E-01
0.230000000E+03 0.813038364E-01
0.240000000E+03 0.696990453E-01
0.250000000E+03 0.600444891E-01
0.260000000E+03 0.519643357E-01
0.270000000E+03 0.451646031E-01
0.280000000E+03 0.394130256E-01
0.290000000E+03 0.345203566E-01
0.300000000E+03 0.303260121E-01
0.310000000E+03 0.267443035E-01
0.320000000E+03 0.236570348E-01
0.330000000E+03 0.209868261E-01
0.340000000E+03 0.186696127E-01
0.350000000E+03 0.166515248E-01
0.360000000E+03 0.148883768E-01
0.370000000E+03 0.133432243E-01
0.380000000E+03 0.119853237E-01
0.390000000E+03 0.107884956E-01
0.400000000E+03 0.973100351E-02
0.410000000E+03 0.879406190E-02
0.420000000E+03 0.796187051E-02
0.430000000E+03 0.722107187E-02
0.440000000E+03 0.656034482E-02
0.450000000E+03 0.596978618E-02
0.460000000E+03 0.544089969E-02
0.470000000E+03 0.496631198E-02
0.480000000E+03 0.453973907E-02
0.490000000E+03 0.415560385E-02
0.500000000E+03 0.380914829E-02
0.510000000E+03 0.349615354E-02
0.520000000E+03 0.321294595E-02
0.530000000E+03 0.295631959E-02
0.540000000E+03 0.272337864E-02
0.550000000E+03 0.251167245E-02
0.560000000E+03 0.231898045E-02
0.570000000E+03 0.214332784E-02
0.580000000E+03 0.198302247E-02
0.590000000E+03 0.183653078E-02
0.600000000E+03 0.170247874E-02
0.610000000E+03 0.157967191E-02
0.620000000E+03 0.146703054E-02
0.630000000E+03 0.136360194E-02
0.640000000E+03 0.126851862E-02
0.650000000E+03 0.118102454E-02
0.660000000E+03 0.110042295E-02
0.670000000E+03 0.102609926E-02
0.680000000E+03 0.957509358E-03
0.690000000E+03 0.894141343E-03
0.700000000E+03 0.835546416E-03
0.710000000E+03 0.781314198E-03
0.720000000E+03 0.731089445E-03
0.730000000E+03 0.684514603E-03
0.740000000E+03 0.641302487E-03
0.750000000E+03 0.601181905E-03
0.760000000E+03 0.563900575E-03
0.770000000E+03 0.529241054E-03
0.780000000E+03 0.496993163E-03
0.790000000E+03 0.466970447E-03
0.800000000E+03 0.438999041E-03
0.810000000E+03 0.412923808E-03
0.820000000E+03 0.388601953E-03
0.830000000E+03 0.365900248E-03
0.840000000E+03 0.344698988E-03
0.850000000E+03 0.324887177E-03
0.860000000E+03 0.306359899E-03
0.870000000E+03 0.289025632E-03
0.880000000E+03 0.272798030E-03
0.890000000E+03 0.257600215E-03
0.900000000E+03 0.243357923E-03
0.910000000E+03 0.230004363E-03
0.920000000E+03 0.217477516E-03
0.930000000E+03 0.205719763E-03
0.940000000E+03 0.194679724E-03
0.950000000E+03 0.184308599E-03
0.960000000E+03 0.174560111E-03
0.970000000E+03 0.165392119E-03
0.980000000E+03 0.156765337E-03
0.990000000E+03 0.148643791E-03
0.100000000E+04 0.140995076E-03
