 140.000  175.000    2.500 0.742     1.1649    1.5689
 160.000  175.000    2.500 0.616     1.0171    1.6496
 180.000  175.000    2.500 0.513     0.8102    1.5784
 200.000  175.000    2.500 0.428     0.6622    1.5448
 250.000  175.000    2.500 0.278     0.4260    1.5353
 300.000  175.000    2.500 0.184     0.2825    1.5367
 350.000  175.000    2.500 0.124     0.1916    1.5398
 400.000  175.000    2.500 0.859E-01 0.1327    1.5441
 450.000  175.000    2.500 0.604E-01 0.0936    1.5485
 500.000  175.000    2.500 0.432E-01 0.0671    1.5529
 550.000  175.000    2.500 0.313E-01 0.0488    1.5571
 600.000  175.000    2.500 0.230E-01 0.0359    1.5611
 650.000  175.000    2.500 0.171E-01 0.0268    1.5650
 700.000  175.000    2.500 0.129E-01 0.0202    1.5684
 750.000  175.000    2.500 0.978E-02 0.0154    1.5714
 800.000  175.000    2.500 0.749E-02 0.0118    1.5742
 850.000  175.000    2.500 0.579E-02 0.0091    1.5770
 900.000  175.000    2.500 0.451E-02 0.0071    1.5796
 950.000  175.000    2.500 0.353E-02 0.0056    1.5821
1000.000  175.000    2.500 0.279E-02 0.0044    1.5845
 140.000  175.000    3.000 0.521     0.8162    1.5663
 160.000  175.000    3.000 0.432     0.7126    1.6468
 180.000  175.000    3.000 0.360     0.5676    1.5758
 200.000  175.000    3.000 0.300     0.4639    1.5422
 250.000  175.000    3.000 0.195     0.2985    1.5327
 300.000  175.000    3.000 0.129     0.1979    1.5341
 350.000  175.000    3.000 0.874E-01 0.1343    1.5372
 400.000  175.000    3.000 0.603E-01 0.0930    1.5415
 450.000  175.000    3.000 0.424E-01 0.0656    1.5459
 500.000  175.000    3.000 0.303E-01 0.0470    1.5503
 550.000  175.000    3.000 0.220E-01 0.0342    1.5545
 600.000  175.000    3.000 0.162E-01 0.0252    1.5585
 650.000  175.000    3.000 0.120E-01 0.0188    1.5623
 700.000  175.000    3.000 0.904E-02 0.0142    1.5658
 750.000  175.000    3.000 0.686E-02 0.0108    1.5687
 800.000  175.000    3.000 0.526E-02 0.0083    1.5716
 850.000  175.000    3.000 0.406E-02 0.0064    1.5744
