#arxiv:1011.1931 D0 8 Nov 2010
#D0_bbH_bb_5.2fb
#no interpolation
#columns: Mh, obs, exp (fb)

90	89.5E+3	73.9E+3
100	46.0E+3	42.5E+3
110	55.0E+3	34.0E+3
120	42.0E+3	22.6E+3
130	23.1E+3	15.0E+3
140	17.6E+3	10.8E+3
150	12.4E+3	8.05E+3
160	8.52E+3	6.38E+3
170	7.24E+3	5.05E+3
180	6.37E+3	4.11E+3
190	5.82E+3	3.51E+3
200	5.46E+3	2.98E+3
210	4.43E+3	2.64E+3
220	3.65E+3	2.23E+3
230	2.80E+3	2.02E+3
240	2.19E+3	1.81E+3
250	1.80E+3	1.55E+3
260	1.62E+3	1.35E+3
270	1.31E+3	1.23E+3
280	1.16E+3	1.10E+3
290	0.73E+3	1.06E+3
300	0.63E+3	0.95E+3
