        1     0.311011598E+03     0.174181430E+03     0.613405752E+02     0.692223215E+02     0.671337247E+06     0.615020335E+07     0.273066103E+07     0.418999910E+07
        2     0.260329843E+03     0.868612576E+02     0.315219254E+03     0.586857891E+02     0.272926688E+06     0.910523176E+07     0.143370032E+06     0.548852563E+07
        3     0.185542667E+03     0.152392066E+03     0.122229981E+02     0.327089617E+03     0.718896627E+07     0.648605824E+07     0.766859412E+07     0.212280989E+07
        4     0.354647791E+03     0.217742822E+03     0.190311334E+03     0.347672997E+03     0.992883563E+07     0.888730288E+06     0.942531645E+07     0.714704454E+07
        5     0.213305483E+03     0.625364971E+02     0.668169165E+02     0.111260970E+03     0.420623422E+07     0.112366498E+07     0.854140103E+07     0.328276932E+07
        6     0.768564463E+02     0.187748580E+03     0.306181798E+03     0.237592113E+03     0.821373045E+07     0.687408388E+07     0.117936492E+07     0.801343739E+07
        7     0.223456206E+03     0.190035088E+03     0.865326977E+02     0.295030804E+03     0.472501934E+07     0.384925067E+07     0.547415495E+07     0.461015284E+07
        8     0.960067749E+02     0.314980538E+03     0.274988115E+03     0.138230495E+03     0.195211709E+07     0.531990230E+07     0.396514535E+07     0.497227848E+07
        9     0.301708410E+03     0.322393756E+03     0.619759798E+01     0.343925951E+03     0.662144125E+07     0.891321898E+06     0.477902889E+06     0.780366957E+07
       10     0.604643297E+02     0.184197764E+03     0.867226839E+02     0.294728229E+03     0.327674448E+07     0.458050072E+07     0.190950334E+07     0.481734455E+07
       11     0.346485765E+03     0.206994588E+03     0.600032473E+02     0.362001657E+02     0.792195797E+07     0.875541687E+07     0.842176199E+07     0.979483783E+07
       12     0.139014387E+03     0.182330754E+03     0.338354273E+03     0.226493347E+03     0.525585353E+07     0.272080958E+07     0.672035217E+07     0.310271323E+07
       13     0.717322254E+02     0.107030890E+03     0.960368371E+02     0.339758592E+03     0.244005263E+07     0.440305114E+07     0.264050364E+06     0.446287572E+07
