100 2000 1.711 1.906 173.3 4.8
110 2000 1.298 1.451 173.3 4.8
120 2000 1.003 1.125 173.3 4.8
130 2000 0.786 0.885 173.3 4.8
140 2000 0.624 0.705 173.3 4.8
150 2000 0.501 0.568 173.3 4.8
160 2000 0.401 0.456 173.3 4.8
170 2000 0.318 0.363 173.3 4.8
180 2000 0.258 0.295 173.3 4.8
190 2000 0.210 0.241 173.3 4.8
200 2000 0.174 0.200 173.3 4.8
210 2000 0.146 0.169 173.3 4.8
220 2000 0.123 0.143 173.3 4.8
230 2000 0.105 0.122 173.3 4.8
240 2000 0.090 0.105 173.3 4.8
250 2000 0.077 0.091 173.3 4.8
260 2000 0.067 0.079 173.3 4.8
270 2000 0.058 0.069 173.3 4.8
280 2000 0.051 0.061 173.3 4.8
290 2000 0.045 0.054 173.3 4.8
300 2000 0.040 0.048 173.3 4.8
310 2000 0.036 0.043 173.3 4.8
320 2000 0.033 0.039 173.3 4.8
325 2000 0.031 0.038 173.3 4.8
330 2000 0.030 0.036 173.3 4.8
335 2000 0.029 0.035 173.3 4.8
340 2000 0.028 0.034 173.3 4.8
345 2000 0.027 0.033 173.3 4.8
350 2000 0.027 0.033 173.3 4.8
355 2000 0.027 0.033 173.3 4.8
360 2000 0.026 0.032 173.3 4.8
380 2000 0.022 0.027 173.3 4.8
400 2000 0.018 0.022 173.3 4.8
420 2000 0.013 0.017 173.3 4.8
440 2000 0.010 0.013 173.3 4.8
460 2000 0.007 0.009 173.3 4.8
480 2000 0.005 0.007 173.3 4.8
500 2000 0.004 0.005 173.3 4.8
520 2000 0.003 0.004 173.3 4.8
540 2000 0.002 0.003 173.3 4.8
560 2000 0.001 0.002 173.3 4.8
580 2000 0.001 0.001 173.3 4.8
600 2000 0.001 0.001 173.3 4.8
620 2000 0.001 0.001 173.3 4.8
640 2000 0.000 0.001 173.3 4.8
660 2000 0.000 0.000 173.3 4.8
680 2000 0.000 0.000 173.3 4.8
700 2000 0.000 0.000 173.3 4.8
720 2000 0.000 0.000 173.3 4.8
740 2000 0.000 0.000 173.3 4.8
760 2000 0.000 0.000 173.3 4.8
100 2250 2.274 2.517 173.3 4.8
110 2250 1.744 1.937 173.3 4.8
120 2250 1.362 1.518 173.3 4.8
130 2250 1.080 1.207 173.3 4.8
140 2250 0.866 0.971 173.3 4.8
150 2250 0.702 0.790 173.3 4.8
160 2250 0.568 0.641 173.3 4.8
170 2250 0.455 0.515 173.3 4.8
180 2250 0.372 0.423 173.3 4.8
190 2250 0.307 0.349 173.3 4.8
200 2250 0.256 0.293 173.3 4.8
210 2250 0.217 0.248 173.3 4.8
220 2250 0.185 0.213 173.3 4.8
230 2250 0.159 0.183 173.3 4.8
240 2250 0.138 0.159 173.3 4.8
250 2250 0.120 0.139 173.3 4.8
260 2250 0.105 0.122 173.3 4.8
270 2250 0.092 0.108 173.3 4.8
280 2250 0.082 0.096 173.3 4.8
290 2250 0.073 0.086 173.3 4.8
300 2250 0.066 0.077 173.3 4.8
310 2250 0.059 0.070 173.3 4.8
320 2250 0.054 0.064 173.3 4.8
325 2250 0.052 0.062 173.3 4.8
330 2250 0.050 0.060 173.3 4.8
335 2250 0.048 0.058 173.3 4.8
340 2250 0.047 0.056 173.3 4.8
