# CMS-HIG-11-014, August 22, 2011
# 11014_CMS_H-WW_1.55fb-1.txt
# no interpolation
# columns: Mh, obs, exp (normalised to SM cross section)

115	6.32649	4.22347
120	4.48928	2.6272
130	2.28451	1.29467
140	1.20125	 0.776354
150	 0.922221	 0.547016
160	 0.498218	 0.284275
170	 0.467593	 0.306607
190	 0.785681	 0.665427
200	1.26236	 0.967304
250	1.97736	1.87344
300	2.97786	2.15053
350	2.85515	2.01793
400	2.75774	2.25272
450	2.43132	2.89446
500	3.5578	3.9329
550	3.79315	5.35366
600	4.8772	7.66369
