21.      2.64D-03
23.      3.48D-03
25.      3.37D-03
27.      3.34D-03
29.      4.30D-03
31.      6.90D-03
33.      6.70D-03
35.      6.12D-03
37.      5.75D-03
39.      6.77D-03
41.      8.50D-03
43.      9.01D-03
45.      8.98D-03
47.      9.18D-03
49.      9.21D-03
51.      7.27D-03
53.      9.81D-03
55.      9.19D-03
57.      1.10D-02
59.      9.85D-03
61.      1.17D-02
63.      1.23D-02
65.      8.65D-03
67.      7.39D-03
69.      1.08D-02
71.      1.49D-02
73.      1.41D-02
75.      1.40D-02
77.      1.80D-02
79.      1.51D-02
81.      1.19D-02
83.      1.30D-02
85.      1.37D-02
87.      1.45D-02
89.      1.86D-02
91.      2.07D-02
93.      2.41D-02
95.      2.76D-02
97.      3.09D-02
99.      2.84D-02
101.     2.76D-02
103.     3.17D-02
105.     3.46D-02
107.     4.10D-02
109.     5.84D-02
111.     9.45D-02
113.     1.41D-01
115.     2.78D-01
117.     9.64D-01
119.     1.00D+00
