      4.0     .0654
      5.0     .0704
      6.0     .0737
      7.0     .0810
      8.0     .0850
      9.0     .0866
     10.0     .0914
     11.0     .0902
     12.0     .0925
     13.0     .0917
     14.0     .0899
     15.0     .0888
     16.0     .0923
     17.0     .0925
     18.0     .0933
     19.0     .0964
     20.0     .1058
     21.0     .1070
     22.0     .1084
     23.0     .1101
     24.0     .1115
     25.0     .1128
     26.0     .1137
     27.0     .1182
     28.0     .1251
     29.0     .1328
     30.00   0.893D-01
     30.50   0.853D-01
     31.00   0.804D-01
     31.50   0.825D-01
     32.00   0.796D-01
     32.50   0.759D-01
     33.00   0.708D-01
     33.50   0.710D-01
     34.00   0.682D-01
     34.50   0.670D-01
     35.00   0.659D-01
     35.50   0.654D-01
     36.00   0.653D-01
     36.50   0.643D-01
     37.00   0.641D-01
     37.50   0.636D-01
     38.00   0.634D-01
     38.50   0.630D-01
     39.00   0.624D-01
     39.50   0.623D-01
     40.00   0.615D-01
     40.50   0.611D-01
     41.00   0.606D-01
     41.50   0.606D-01
     42.00   0.599D-01
     42.50   0.599D-01
     43.00   0.597D-01
     43.50   0.596D-01
     44.00   0.594D-01
     44.50   0.593D-01
     45.00   0.571D-01
     45.50   0.567D-01
     46.00   0.572D-01
     46.50   0.575D-01
     47.00   0.577D-01
     47.50   0.579D-01
     48.00   0.575D-01
     48.50   0.576D-01
     49.00   0.575D-01
     49.50   0.442D-01
     50.00   0.445D-01
     50.50   0.450D-01
     51.00   0.455D-01
     51.50   0.451D-01
     52.00   0.454D-01
     52.50   0.448D-01
     53.00   0.448D-01
     53.50   0.462D-01
     54.00   0.464D-01
     54.50   0.470D-01
     55.00   0.475D-01
     55.50   0.426D-01
     56.00   0.430D-01
     56.50   0.420D-01
     57.00   0.420D-01
     57.50   0.424D-01
     58.00   0.427D-01
     58.50   0.432D-01
     59.00   0.432D-01
     59.50   0.388D-01
     60.00   0.456D-01
     60.50   0.456D-01
     61.00   0.456D-01
     61.50   0.452D-01
     62.00   0.444D-01
     62.50   0.413D-01
     63.00   0.403D-01
     63.50   0.398D-01
     64.00   0.394D-01
     64.50   0.421D-01
     65.00   0.335D-01
     65.50   0.339D-01
     66.00   0.339D-01
     66.50   0.335D-01
     67.00   0.335D-01
     67.50   0.314D-01
     68.00   0.315D-01
     68.50   0.305D-01
     69.00   0.304D-01
     69.50   0.286D-01
     70.00   0.287D-01
     70.50   0.281D-01
     71.00   0.275D-01
     71.50   0.268D-01
     72.00   0.271D-01
     72.50   0.277D-01
     73.00   0.277D-01
     73.50   0.299D-01
     74.00   0.297D-01
     74.50   0.301D-01
     75.00   0.406D-01
     75.50   0.376D-01
     76.00   0.351D-01
     76.50   0.357D-01
     77.00   0.350D-01
     77.50   0.343D-01
     78.00   0.350D-01
     78.50   0.354D-01
     79.00   0.353D-01
     79.50   0.334D-01
     80.00   0.316D-01
     80.50   0.305D-01
     81.00   0.301D-01
     81.50   0.282D-01
     82.00   0.281D-01
     82.50   0.271D-01
     83.00   0.214D-01
     83.50   0.217D-01
     84.00   0.222D-01
     84.50   0.237D-01
     85.00   0.244D-01
     85.50   0.245D-01
     86.00   0.257D-01
     86.50   0.260D-01
     87.00   0.272D-01
     87.50   0.287D-01
     88.00   0.296D-01
     88.50   0.297D-01
     89.00   0.311D-01
     89.50   0.326D-01
     90.00   0.331D-01
     90.50   0.342D-01
     91.00   0.354D-01
     91.50   0.359D-01
     92.00   0.354D-01
     92.50   0.346D-01
     93.00   0.384D-01
     93.50   0.457D-01
     94.00   0.491D-01
     94.50   0.511D-01
     95.00   0.516D-01
     95.50   0.527D-01
     96.00   0.570D-01
     96.50   0.566D-01
     97.00   0.564D-01
     97.50   0.552D-01
     98.00   0.565D-01
     98.50   0.555D-01
     99.00   0.556D-01
     99.50   0.553D-01
    100.00   0.582D-01
    100.50   0.611D-01
    101.00   0.599D-01
    101.50   0.598D-01
    102.00   0.588D-01
    102.50   0.610D-01
    103.00   0.673D-01
    103.50   0.695D-01
    104.00   0.704D-01
    104.50   0.764D-01
    105.00   0.788D-01
    105.50   0.846D-01
    106.00   0.896D-01
    106.50   0.939D-01
    107.00   0.103D+00
    107.50   0.108D+00
    108.00   0.110D+00
    108.50   0.118D+00
    109.00   0.121D+00
    109.50   0.136D+00
    110.00   0.144D+00
    110.50   0.152D+00
    111.00   0.174D+00
    111.50   0.187D+00
    112.00   0.212D+00
    112.50   0.244D+00
    113.00   0.288D+00
    113.50   0.337D+00
    114.00   0.410D+00
    114.50   0.521D+00
    115.00   0.672D+00
    115.50   0.912D+00
    116.00   0.120D+01
