    r       T      rho         O         Na       Mg          Al      Si          P        S         Ca        Cr       Fe       Ni 
0.000E+00 5.50E+03 1.31E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
1.000E-02 5.50E+03 1.31E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
2.000E-02 5.50E+03 1.31E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
3.000E-02 5.50E+03 1.31E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
4.000E-02 5.49E+03 1.31E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
5.000E-02 5.49E+03 1.31E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
6.000E-02 5.48E+03 1.31E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
7.000E-02 5.48E+03 1.30E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
8.000E-02 5.47E+03 1.30E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
9.000E-02 5.46E+03 1.30E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
1.000E-01 5.45E+03 1.30E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
1.100E-01 5.44E+03 1.30E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
1.200E-01 5.43E+03 1.30E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
1.300E-01 5.42E+03 1.29E+01   0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-02  2.00E-03  1.90E-02  0.00E+00  9.00E-03  8.55E-01  5.20E-02 
