100 2000 1.716 1.951
120 2000 1.006 1.150
140 2000 0.627 0.720
160 2000 0.402 0.465
180 2000 0.259 0.301
200 2000 0.175 0.204
220 2000 0.124 0.145
240 2000 0.090 0.107
260 2000 0.068 0.080
280 2000 0.052 0.062
300 2000 0.041 0.049
320 2000 0.033 0.040
325 2000 0.032 0.039
330 2000 0.031 0.037
335 2000 0.030 0.036
340 2000 0.029 0.035
345 2000 0.028 0.035
350 2000 0.028 0.034
355 2000 0.028 0.034
360 2000 0.027 0.033
380 2000 0.022 0.028
400 2000 0.018 0.022
420 2000 0.013 0.017
440 2000 0.010 0.013
460 2000 0.007 0.009
480 2000 0.005 0.007
500 2000 0.004 0.005
520 2000 0.002 0.003
100 2250 2.280 2.574
120 2250 1.367 1.550
140 2250 0.869 0.990
160 2250 0.570 0.652
180 2250 0.374 0.430
200 2250 0.258 0.298
220 2250 0.186 0.216
240 2250 0.139 0.162
260 2250 0.106 0.124
280 2250 0.083 0.097
300 2250 0.067 0.079
320 2250 0.055 0.066
325 2250 0.053 0.063
330 2250 0.051 0.061
335 2250 0.050 0.060
340 2250 0.049 0.058
345 2250 0.048 0.058
350 2250 0.048 0.058
355 2250 0.048 0.057
360 2250 0.046 0.056
380 2250 0.040 0.048
400 2250 0.032 0.039
420 2250 0.025 0.030
440 2250 0.019 0.023
460 2250 0.014 0.017
480 2250 0.011 0.013
500 2250 0.008 0.010
520 2250 0.005 0.006
540 2250 0.001 0.001
100 2500 2.913 3.270
120 2500 1.778 2.004
140 2500 1.151 1.303
160 2500 0.768 0.872
180 2500 0.513 0.584
200 2500 0.359 0.411
220 2500 0.264 0.303
240 2500 0.199 0.230
260 2500 0.155 0.179
280 2500 0.123 0.143
300 2500 0.100 0.117
320 2500 0.085 0.099
325 2500 0.082 0.096
330 2500 0.079 0.093
335 2500 0.077 0.091
340 2500 0.076 0.090
345 2500 0.076 0.089
350 2500 0.076 0.089
355 2500 0.075 0.088
360 2500 0.073 0.087
380 2500 0.064 0.076
400 2500 0.052 0.062
420 2500 0.041 0.049
440 2500 0.032 0.038
460 2500 0.024 0.029
480 2500 0.018 0.022
500 2500 0.014 0.017
520 2500 0.009 0.011
540 2500 0.002 0.002
100 2750 3.610 4.033
